,Tweet,Stemmed,Sentimen
64, hampir semua orang melihat ada kecurangan bawaslu juga sudah mengakui ada kecurangan dan ketidak netralan ribuan kpps, hampir semua lihat curang bawaslu curang ketidak netralan ribu kpps ,-1
65, curang cureng curang cureng, curang curang ,-1
66, ketularan kpu ya prof, tular kpu prof ,-1
67, kpuid admin sadarlah, kpuid admin sadarlah ,-1
68, tak ada kapok dan malu nya kpuid ini sudah diberitakan di media mainstream masih saja, kapok malu kpuid diberitakan media mainstream ,-1
69, situng kpuid kacau dan brutal dajjal kopi pagi akhir syaban sruputan nikmat sambut ramadhan semoga dajjal, situng kpuid kacau brutal dajjal kopi pagi akhir syaban sruputan nikmat sambut ramadhan moga dajjal ,-1
70, langkah sinergi terjalin melalui suluh kebangsaan oleh para tokoh serta turut diwujudkan oleh kpuid, langkah sinergi jalin lalu suluh bangsa tokoh turut diwujudkan kpuid ,1
71, team it kpu kelupaan mengedit dan merubah data perolehan suara sistem hitung cepat di tanggal  april  pukul   wib, team it kpu lupa edit merubah data suara sistem hitung cepat tanggal  april  pukul  ,-1
72, kalau salah input terus siapa yang  percaya  situng kpu, kalau salah input terus siapa  percaya  situng kpu ,-1
73, kpu bagian dari tkn, kpu tkn ,-1
74, ketua kpu sebut data situng kpu bukan hasil resmi lah jadi untuk apa trus kenapa begitu lama hanya untuk penggiringan, ketua kpu sebut data situng kpu bukan hasil resmi jadi trus lama penggiringan ,-1
75, kpuid lebih pilih pake jam yg pake jarum  yg digital takut dirubah  maghrib    takut jd  , kpuid lebih pilih pake jam pake jarum  digital takut dirubah  maghrib  takut jd  ,-1
76, bpn laporkan kpu dan lembaga survei kebawaslu, bpn laporkan kpu lembaga survei kebawaslu ,-1
77, pulang dari kunjungi kpuid prof jadi ketularan kesalahan input, pulang kunjungi kpuid prof jadi tular salah input ,-1
78, kpuid andre cebong anjing, kpuid cebong anjing ,-1
79, ya di hitung sendiri pak ustad klu gak percaya kpu, hitung sendiri ustad percaya kpu ,1
80, gawat banyak surat suara yang di coblos oleh setan kpu tidak mau menyelesaikan harus melalui mk kpu hanya input data, gawat banyak surat suara coblos setan kpu selesai lalu mk kpu input data ,-1
81, kpuid jangan dari pemilu sebelumnya memang begini modelnya jadi mereka anggap biasa saja, kpuid jangan pemilu memang begini modelnya jadi anggap biasa ,-1
82, dahsyat tim it prabowo laporkan  kesalahan input ke bawaslu bukti bukti yang ada menunjukkan kpuid bertindak, dahsyat tim it prabowo laporkan  salah input bawaslu bukti bukti tunjuk kpuid tindak ,-1
83, hukum dan kpuid cebong bangsat, hukum kpuid cebong bangsat ,-1
84, kpuid saya paham yang hitung mulai kalah banyak seperti mau sabotase pemilu setiap kesalahan dianggap curang, kpuid paham hitung mulai kalah banyak sabotase pemilu tiap salah dianggap curang ,1
85, gilee benar situng dikendalikan intruder berfungsi mengubah data untuk disesuaikan dgn quickcount dan pusatnya di gambir pakar, benar situng dikendalikan intruder fungsi ubah data disesuaikan dgn quickcount pusatnya gambir pakar ,-1
86, apa kata kpu kita akan percaya kalau kambing mengeong kamu mau percaya, kata kpu percaya kalau kambing ngeong kamu percaya ,-1
87, bukan cuma situng kpu yang direvisi bap juga direvisi hehehe banyak yang ajaib sejak rezim ini berkuasa, bukan situng kpu direvisi bap direvisi banyak ajaib sejak rezim kuasa ,-1
88, bpn pertanyakan penghitungan suara kpu, bpn pertanyakan hitung suara kpu ,-1
89, kpuid selamat anda membuat rakyat apatis, kpuid selamat buat rakyat apatis ,-1
90, sesuai undang nya kalau kpu buat kesalahan terus gimana, suai undang kalau kpu buat salah terus gimana ,-1
91, dan akhirnya televisi arab yang diwakili oleh aljazera memberitakan bentuk kecurangan yang terjadi di pilpres  ayo gimana, akhir televisi arab diwakili aljazera berita bentuk curang jadi pilpres  gimana ,-1
92, jika pemerintah jokowi saat ini kpuid dan bawasluri tak mau membentuk tpf pemilu  sebaiknya bpn bersama komnas ham, perintah jokowi kpuid bawasluri bentuk tpf pemilu  baik bpn sama komnas ham ,-1
93, kpuid ternyata sekelas kpuid seleranya akun bokep penghina rosululloh, kpuid nyata sekelas kpuid seleranya akun bokep penghina rosululloh ,-1
94, bubarkan kpuid yg isinya cuma orang sampah dapur itu, bubarkan kpuid isinya sampah dapur ,-1
95, kpuid dan bawasluri mengejar dan mau mengimbangi quickcount di televisi, kpuid bawasluri kejar imbang quickcount televisi ,-1
96, cucu pendiri nu gus aam tantang kpu sumpah mubahalah untuk buktikan kecurangan, cucu diri nu gus aam tantang kpu sumpah mubahalah buktikan curang ,-1
97, c ada berapa lapis nggih pak jangan mencoba menipu rakyat dengan menebar kekacauan semua bisa, c berapa lapis jangan coba tipu rakyat tebar kacau semua ,-1
98, semoga babinsa jauh lebih jujur dari kpu yang tidak bekualitas, moga babinsa jauh lebih jujur kpu bekualitas ,-1
99, barusan muncul kemana aja selama ini bang btw situng kpu yang bermasalah tidak disinggung sekalian, barusan muncul lama bang situng kpu bermasalah disinggung kali ,-1
100, bocah kelas teri aja bisa masuk ke database yang katanya security data utamanya aman gimana kalo yang ahli saya kira ruangan penting di kpu, bocah kelas teri masuk database katanya security data utamanya aman gimana ahli kira ruang penting kpu ,-1
101, nah loh jangan jadikan kesalahan menjadi kebiasaan kpuid, jangan jadikan salah jadi biasa kpuid ,-1
102, kalau benar kpuid terlibat pengaturan skor dan bawasluri tidak bertindak tunggu saja azab allah, kalau benar kpuid libat atur skor bawasluri tindak tunggu azab allah ,-1
103, gus aam tantang kpu dan bawaslu bersumpah mubahalah, gus aam tantang kpu bawaslu sumpah mubahalah ,-1
104, tidak usah ditekan saja sudah memble sudah kegencet oleh ketidakwarasannya sendiri harusnya diganti atau mundur semua , usah ditekan memble kegencet ketidakwarasannya sendiri harusnya diganti mundur semua ,-1
105, betul bang kalau bukan people power kpu ga bakalan ngakui kesalahan, betul bang kalau bukan people power kpu bakal ngakui salah ,-1
106, lihat saja pemilu dan pilpres  telah menguras anggaran yang sangat besar mencapai rp  triliun mirisnya dari, lihat pemilu pilpres  uras anggar sangat besar capai rp  triliun mirisnya ,-1
107, apa kata kpu kita akan percaya, kata kpu percaya ,1
108, hari ini kampret masih aja membahas kecurangan kpu hastag yang kali ini mereka naikan adalah kpu curang rakyat melawan padahal, hari kampret bahas curang kpu hastag kali naikan kpu curang rakyat lawan padahal ,1
109, supaya hasil pemilu diterima rakyat sebaiknya aspirasi suara rakyat dihitung bareng situng kpuid sulit diterima, hasil pemilu diterima rakyat baik aspirasi suara rakyat dihitung bareng situng kpuid sulit diterima ,-1
110, kunjungan prabowo sandiaga ke aceh rayakan syukuran kemenangan dan bpn prabowo sandiaga ke bawaslu membahas kecurangan it situng kpu, kunjung prabowo sandiaga aceh rayakan syukur menang bpn prabowo sandiaga bawaslu bahas curang it situng kpu ,-1
111, situng mulai melambat namun yang signifikan naik suara  suara per   wib di situs kpuid kayaknya berat mau input, situng mulai melambat signifikan naik suara  suara per  situs kpuid kayaknya berat input ,-1
112, kpu bilang situng bukan patokan tapi media televisi setiap menit menyiarkan hasil situng itu bisa jadi alat propaganda dong bos, kpu bilang situng bukan patok media televisi tiap menit siar hasil situng jadi alat propaganda dong ,-1
113, akibat keseringan bergaul dengan kpu kalo pihak oposisi pasti dikurangin masa sampai pak sby dibilang presiden, akibat keseringan gaul kpu pihak oposisi dikurangin masa sby dibilang presiden ,-1
114, suara  tergerus bukan hanya di situng kpu tapi juga saat rekap per kabupaten suara  di sampang menyusut ppk kedungdung , suara  gerus bukan situng kpu rekap per kabupaten suara  sampang susut ppk kedungdung ,-1
115, kecurangan kpu sungguh biadab laknat lah kalian hey antek rezim sontoloyo, curang kpu sungguh biadab laknat kalian hey antek rezim sontoloyo ,-1
116, serius aja  t tapi servernya begini pleasa jika kpuid mau lebih dipercaya jangan takut untuk diaudit forensik, serius  t servernya begini pleasa kpuid lebih dipercaya jangan takut diaudit forensik ,-1
117, bayangkan kalo tukang input data kpu kerja di bank berapa milyar rupiah uang nasabah lenyap mereka dungu tapi bangga, bayangkan tukang input data kpu kerja bank berapa milyar rupiah uang nasabah lenyap dungu bangga ,-1
118, kpuid goblok, kpuid goblok ,-1
119, aku like ya ttd kpuid, like kpuid ,1
120, gila bener situng dikendalikan intruder berfungsi mengubah data untuk disesuaikan dengan quickcount dan pusatnya di gambir pakar, gila bener situng dikendalikan intruder fungsi ubah data disesuaikan quickcount pusatnya gambir pakar ,-1
121, kpuid salahnya bukan sedikit salah kok hampir tiap hari, kpuid salahnya bukan sedikit salah hampir tiap hari ,-1
122, tps  gerung utara kecamatan gerung lombok barat ntb input di web kpu tidak sesuai dengan c asli yang janggal adalah c, tps  gerung utara camat gerung lombok barat ntb input web kpu suai c asli janggal c ,-1
123, diluar bayangan saya ruang server kpuid kayak gini dana  t itu kemana, diluar bayang ruang server kpuid gini dana  t ,-1
124, nih kpuid  bawasluri lihat dan cermati rakyat disuguhi kecurangan, kpuid  bawasluri lihat cermati rakyat disuguhi curang ,-1
125, kpuid hayo bayar janji adalah hutang hutang harus dibayar kalau gak dibayar maka anda sama dengan, kpuid bayar janji hutang hutang dibayar kalau dibayar sama ,-1
126, pendukung prabowo di ntb minta kpuid diskualifikasi  jokowimaruf mendesak bawaslu dan kpu untuk memutuskan membatalkan, dukung prabowo ntb minta kpuid diskualifikasi  jokowimaruf desak bawaslu kpu putus batal ,-1
127, situng kpu tidak layak guna kesalahan input dapat diancam pidana, situng kpu layak salah input diancam pidana ,-1
128, kalau tidak stop kpu ngeyel tenan , kalau stop kpu ngeyel ,-1
129, server kpu rasa warnet, server kpu rasa warnet ,-1
130, kpuid tanggal  mei  datanya lenyap belum tersedia ayo kpu input data yang benar ya, kpuid tanggal  mei  datanya lenyap sedia kpu input data benar ,1
131, resmi bpn laporkan  data salah input situng kpuid ke bawasluri, resmi bpn laporkan  data salah input situng kpuid bawasluri ,-1
132, enak aja ngomong ngademin aja beresin tuh kpu sby tinggal bilang yang jujur  sby  jgn kaya anak, enak ngomong ngademin beresin kpu sby tinggal bilang jujur  sby  kaya anak ,-1
133, situng kpu itu dibiayai oleh rakyat jangan dipake buat ngebohongin dan ngebodohi rakyat , situng kpu dibiayai rakyat jangan dipake buat ngebohongin ngebodohi rakyat ,-1
134, cuman melaksanakan perintah hr aja pakai alasan segala situng kpu bermasalah, cuman laksana perintah hr pakai alas segala situng kpu bermasalah ,-1
135, kpu depok salah input lagi suara jokowi  ditulis  , kpu depok salah input suara jokowi  ditulis  ,-1
136, bpn prabowo serahkan bukti dugaan kecurangan di situng kpu ke bawaslu ada  dugaan kecurangan , bpn prabowo serahkan bukti duga curang situng kpu bawaslu  duga curang ,-1
137, seperti kata pepatah  anjing menggonggong kpu tetap berlalu  semoga yang curang dilaknat allah amin, kata pepatah  anjing gonggong kpu tetap lalu  moga curang dilaknat allah amin ,-1
138, fadlizon mau ngajak orang ikut dukung stop situng kpu aku ogah, fadlizon ngajak ikut dukung stop situng kpu ogah ,1
139, saya ga paham bikin it situng trilyunan pada akhirnya ga dipake buat apa buang uang tenaga sampai banyak korban, paham it situng trilyunan akhir dipake buat buang uang tenaga banyak korban ,-1
140, bro kpuid banyak kecurangan di it anda tolong, bro kpuid banyak curang it ,-1
141, negaraku hancur lebur pemalsuan c termasuk tanda tangan palsu adalah sebuah kejahatan kasus c tps  gerung, negaraku hancur lebur palsu c masuk tanda tangan palsu sebuah jahat kasus c tps  gerung ,-1
142, tarawih  rakaat  witir  rakaat   rakaat tarawih  rakaat  witir  rakaat   rakaat awas salah input good pagi, tarawih  rakaat  witir  rakaat  rakaat tarawih  rakaat  witir  rakaat  rakaat awas salah input good pagi ,-1
143, semakin jelas kecurangan yang begitu telanjang terlaknatlah kalian orang orang curang, makin jelas curang telanjang terlaknatlah kalian curang ,-1
144, kpuid salah sedikit bisa disebut gagal kalau salah banyak di sebut, kpuid salah sedikit disebut gagal kalau salah banyak sebut ,-1
145, kpuid kami tak percaya lagi sama kpu banyak omong mulai dari kardus anti air kuat katanya dulu hadeh sekarang dibilang human error, kpuid percaya sama kpu banyak omong mulai kardus anti air kuat katanya dulu hadeh sekarang dibilang human error ,-1
146, lemhannas minta semua pihak tidak paksakan keinginan kepada kpu, lemhannas minta semua pihak paksakan kpu ,1
147, hawa negatif dan mendung kelabu telah menyelimuti kpu, hawa negatif mendung kelabu selimut kpu ,-1
148, banyak data tak sesuai c prodem minta situng kpu dihentikan, banyak data suai c prodem minta situng kpu dihentikan ,-1
149, stop situng kpu kembali pada pola hitungan manual dan disaksikan publik secara terbuk, stop situng kpu pola hitung manual disaksikan publik cara terbuk ,-1
150, aksi mahasiswa unpad kpu harus diberi sanksi tegas atas kegagalan pemilu, aksi mahasiswa unpad kpu diberi sanksi tegas atas gagal pemilu ,-1
151, kpuid serius tidak tunduk jangan lain dibibir lain dihati, kpuid serius tunduk jangan dibibir dihati ,-1
152, team ite kpu kelupaan mengedit dan merubah data perolehan suara sistem hitung cepat di tanggal april  pukul  wib, team ite kpu lupa edit merubah data suara sistem hitung cepat tanggal april  pukul  ,-1
153, kpuid tidak usah menutup mata seolah terzolimi karna tekanan rakyat menekan karna merasa suara mereka terzolimi, kpuid usah tutup mata terzolimi karna tekan rakyat tekan karna rasa suara terzolimi ,-1
154, kpuid jangan sampai seperti ini jadi mereka punya mata tapi tak melihat punya telinga, kpuid jangan jadi punya mata lihat punya telinga ,-1
155, ketua pbnu percayai hasil perhitungan kpu, ketua pbnu percayai hasil hitung kpu ,1
156, kpu pangkalpinang selesaikan rekapitulasi di tujuhkecamatan, kpu pangkalpinang selesaikan rekapitulasi tujuhkecamatan ,1
157, sukses buat kpu yang telah menyelenggarakan pemilu dengan lancar tanpa adanya kejujuran dan membuat, sukses buat kpu selenggara pemilu lancar jujur buat ,-1
158, jejak tersangka di mulai dari admin kpuid  wkwkwk, jejak sangka mulai admin kpuid  ,-1
159, bila pernyataan soegianto soelistiono benar kenyataan ini dikategorikan kesalahan kecurangan atau kejahatan kpuid, bila nyata soegianto soelistiono benar nyata dikategorikan salah curang jahat kpuid ,-1
160, memang dah gak waras penyelenggara pemilu ini suara aja di rampok apalagi kekayaan negara ya, memang waras selenggara pemilu suara rampok kaya negara ,-1
161, fix udah buzer kpu ri bersihkan dulu dah kpu sekarang dukung, udah buzer kpu ri bersihkan dulu kpu sekarang dukung ,-1
162, tolak people power aliansi mahasiswa bandung siap kawal kpu, tolak people power aliansi mahasiswa bandung siap kawal kpu ,1
163, kpkri kpuid t kemana saja, kpkri kpuid t ,-1
164, semoga kpu tetap amanah antara komisioner kpu ilham saputra komisi pemilihan umum kpu memastikan tidak ada kecurangan, moga kpu tetap amanah komisioner kpu ilham saputra komisi pilih umum kpu curang ,1
165, situng kpu dihack intruder dari depan stasiun gambir pendukung pasangan calon paslon presiden prabowo subianto, situng kpu dihack intruder depan stasiun gambir dukung pasang calon paslon presiden prabowo subianto ,-1
166, ada  lebih kesalahan input data di situng kpu,  lebih salah input data situng kpu ,-1
167, yang dipajang kpu melalui situng ternyata banyak sekali kesalahan yang lebih parah tentang pemalsuan c udah tau salah kok gak segera, dipajang kpu lalu situng nyata banyak kali salah lebih parah palsu c udah salah segera ,-1
168, pemain lapak kardus kpu lagi mau check in di hotel semeru bogor dengan segala kedunguannya, main lapak kardus kpu check in hotel semeru bogor segala dungu ,-1
169, perabotan bekas warnet itu sekarang disimpan di kantor kpu dengan bangga dia tunjukkan perabotan itu tanpa merasa malu dengan uang, perabotan bekas warnet sekarang disimpan kantor kpu bangga tunjukkan perabotan rasa malu uang ,-1
170, jatah libur kena piket kpu bisa mati, jatah libur kena piket kpu mati ,-1
171, kpu dan bawaslu ini diberi bukti  lebih kesalahan nih ayo beri rakyat transparansi jujur dan adillah kepada rakyat, kpu bawaslu diberi bukti  lebih salah beri rakyat transparansi jujur adillah rakyat ,-1
172, kpuid ini ilmuwan dunia koplak penemu rumus kotak katak situng, kpuid ilmuwan dunia koplak temu rumus kotak katak situng ,-1
173, begitu masif kesalahan situng kpuid yang bikin sinting fb pakar it universitas airlangga prof soegianto soelistiono, masif salah situng kpuid sinting fb pakar it universitas airlangga prof soegianto soelistiono ,-1
174, bahkan terkait pencurangan dengan menggunakan c aspal sudah kami wanti sejak lama mereka dengan bantuan kpu akan, bahkan kait pencurangan c aspal wanti sejak lama bantu kpu ,-1
175, kalo sistemnya bagus pasti ada log atau history siapa yang upload waktunya kapan dan pakai ip address brp, sistemnya bagus log history siapa upload waktunya kapan pakai ip address brp ,-1
176, pakar it universitas airlangga temukan  salah input data di situng kpu hentikan situng kpu sementara  bagaimana, pakar it universitas airlangga temukan  salah input data situng kpu hentikan situng kpu  bagaimana ,-1
177, yang jelas dunia sudah tidak bisa diam dengan kegagalan kpu dalam menyelenggarakan pemilu dunia saja tidak bisa diam logis, jelas dunia diam gagal kpu selenggara pemilu dunia diam logis ,-1
178, bang karni itu bukanya seperti kpu tidak bisa di tekan pihak manapun, bang karni bukanya kpu tekan pihak manapun ,1
179, kpu bandarlampung rampungkan rekapitulasi suara di  kecamatan, kpu bandarlampung rampungkan rekapitulasi suara  camat ,1
180, darurat kecurangan terkait c dan input data kpu para aktelevisis tidak hanya desak kpuid untuk menutup situng, darurat curang kait c input data kpu aktelevisis desak kpuid tutup situng ,-1
181, cucu pendiri nu tantang kpubawaslu dan tkn sumpah mubahalah, cucu diri nu tantang kpubawaslu tkn sumpah mubahalah ,-1
182, saya curiga pihak istana ada main dengan kpu, curiga pihak istana main kpu ,-1
183, gak ngurusin rumah malah ngurus kpu, ngurusin rumah malah ngurus kpu ,1
184, semua postingan dihapus lebih dulu sebelum akun professor soegianto soelistiono yang membongkar kecurangan kpu ini tewas, semua postingan dihapus lebih dulu akun professor soegianto soelistiono bongkar curang kpu tewas ,-1
185, bpn laporkan kpu dan lembaga survei ke bawaslu, bpn laporkan kpu lembaga survei bawaslu ,-1
186, kpuid gak curang gak makan, kpuid curang makan ,-1
187, hentikan situng kpu ini kesalahannya sangat brutal ada sebanyak  kesalahan input data situng jumlah ini, hentikan situng kpu salah sangat brutal banyak  salah input data situng jumlah ,-1
188, situs kpu sama dengan survey quickcount menangin yang bayar demi membentuk opini, situs kpu sama survey quickcount menangin bayar bentuk opini ,-1
