,Tweet,Score,Prediksi
27,dokumen rusak rendam banjir tak usah panik kini kamu bisa restorasi dokumen yang rendam banjir seperti ijazah,-1.0,-1.0
28,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0,-1.0
29,kemenhub ungkap proyek kereta cepat china jadi picu banjir tol jakartacikampek buat cebong salah anies jauh,-1.0,-1.0
30,ini dia fery dan syfa yang viral karena tetap langsung nikah saat banjir timpa,-1.0,-1.0
31,distribusi bantu utk korban banjir oleh pac gp ansor kembang gpansorsatu adtaufiq officialansor,-1.0,-1.0
32,tim advokasi korban banjir dki jakarta kata tidak operasi sistem ingat dini banjir akan jadi poin gug,-1.0,-1.0
33,1 minggu di 2020 banjir jabodetabek bakar hutan australia natuna world war 3 reynhard sinaga wew,-1.0,-1.0
34,kata anggota tim tgupp banjir jakarta adalah banjir kirim dan siklus 200 tahun klo sdh tau begitu knapa tdk diantis,-1.0,-1.0
35,twitter please do your magic aku minta bantu ke kalian semua buat temen kampus ku yang kena banjirlongsor rumah ru,-1.0,-1.0
36,korban tewas akibat banjir banyak di jabar kok ridwan kamil nggak dibully,-1.0,-1.0
37,syiap cc bbwspemalijuana dpusdatarujtg pukotasemarang bpbdsemarang bpbdjateng segera cek,-1.0,-1.0
38,infografis fakta banjir rob yang bakal landa utara jakarta,-1.0,-1.0
39,waktu di ilc saya tidak akan jawab kata dengan perkataantapi saya akan jawab tanya sebut dengan kerja,-1.0,-1.0
40,kasat lantas polrestabes bandung kompol bayucatur2003 serta staf bhayangkari tinjau daerah yang kena imbas,-1.0,-1.0
41,layan darurat israel temu dua wargayang jebak banjirdalam lift di buah gedung wilayah tel aviv selatan sem,-1.0,-1.0
42,rawan mdmc kabupaten bogor harus lewat medan yang cukup sulit untuk jangkau desa cisarua camat sukajay,-1.0,-1.0
43,saya datang untuk pasti butuh warga dampak bencana penuh sebab bencana banjir bandang di lebak seperti pe,-1.0,1.0
44,banjir jakarta bakar hutan di australia mungkin ww iii masalah pulau natuna dan laut cina selatan ria ir,1.0,-1.0
45,ini akibat bala hutan laburaku1 potretlabura,-1.0,-1.0
46,banjir jakarta bakar hutan di australia mungkin ww iii masalah pulau natuna dan laut cina selatan ria ir,-1.0,-1.0
47,banjir jakarta bakar hutan di australia mungkin ww iii masalah pulau natuna dan laut cina selatan ria ir,-1.0,-1.0
48,korban tewas akibat banjir banyak di jabar kok ridwan kamil nggak dibully netizen karena ridwan kamil adalah main,-1.0,-1.0
49,stevaniehuangg padahal yg banyak jadi korban tewas saat banjir amp tanah longsor propinsi jabar kok warga jabar ga ada y,-1.0,-1.0
50,aku ada di2020 dan awal banjir dijakarta bakar diaustralia isu world war 3 kasus reynhard sinaga natuna dan,-1.0,-1.0
51,sudah paham fungsi hutan bumi mampus kau banjir hutan kau gundul sampah kau buang sembarang memang kau tak,-1.0,-1.0
52,kasus jiwasraya mereka coba salah sby kasus banjir jabodetabek3 provinsi mereka salah dan bully anies kasus,-1.0,-1.0
53,banjir pejuh crot dua kali masih kental kayak lem,1.0,-1.0
54,big respect buat ibu iti octavia jayabaya bupati lebak lebak yg jauh dari hiruk pikuk berita siapa yg salah hadap banji,-1.0,-1.0
55,nenek 71 th tinggal dlm rumah sendiri di green ville blok bn pas banjir kemaren viralkan biar sampai ke mendagri pak,-1.0,-1.0
56,edan aniesbaswedan sebar kabar bohong hoax kemang tidak banjir,-1.0,-1.0
57,habis ambil rapotterus ada ibu2 dukung anis yg kena banjir dia bilang hujan dan kena banjir adalah berkah dari allo,-1.0,-1.0
58,beneran kayak parasite kalau dipikirpikir jakarta banjir dan timpang yang nyata,-1.0,-1.0
59,share gugat class action korban banjir dki jakarta di tahun 2020 pemprov dki amp anies baswedan nilai lalai amp tidak,-1.0,-1.0
60,dinas pustaka dan arsip dki jakarta buka layan restorasi arsip bagi warga dampak banjir di seluruh wilayah k,-1.0,-1.0
61,1 minggu di 2020 banjir jabodetabek bakar hutan australia natuna world war 3 reynhard sinaga wew,-1.0,-1.0
62,jelas yang sangat baik tentang banjir jakarta dari remaja usia 17 tahun saskia gladys cerah,-1.0,-1.0
63,anies tidak serius tuntas masalah banjir di jakarta,-1.0,-1.0
64,banjir di jakarta itu betul bukan banjir air tetapi banjir sperma cuman aib itu tetap sembunyi,-1.0,-1.0
65,hatehti pujangga1123 aniesbaswedan,1.0,-1.0
66,ayooo kisanak kita berpratisipasi jadi rumah kita bagai perangkap air jebak air biar gak keluar rumah dan bi,-1.0,-1.0
67,berkalikali saya sampai tak usah banding jokowi dgn gabener dki ndak aple to aple tapi aple to dos foto pres,-1.0,-1.0
68,enih senetron eang gagal orbit di stasiyen tipi tetangga critanye ada sorang warga korban banjir eang mau nuntut tanggung,-1.0,-1.0
69,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0,-1.0
70,mungkin kang ridwankamil lagi mujur benar ga dennysiregar7,-1.0,-1.0
71,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0,-1.0
72,media indonesia please share ini jadi di kuningan,-1.0,-1.0
73,ini surat dari tim advokasi banjir mohon untuk sebar kpd yg kena musibah barangkali ingin minta ganti rugi,-1.0,-1.0
74,mantan gub dki sutiyoso 2002 kena banjir yg parah 2007 tapi banjir yg skrg jaman gubernur aniesbaswedan paling ekstrim,-1.0,-1.0
75,banjir jakarta bakar hutan di australia mungkin ww iii masalah pulau natuna dan laut cina selatan ria ir,-1.0,-1.0
76,kritik anis di bilang gak mup on ato bela nista agama ndasmu lah aq bukan warga dki cuk bagi jkw menangwowo jadi,-1.0,-1.0
77,ngak ikut class action ke pemda dki aja sekali kami lagi surati sih belum gugat in,-1.0,-1.0
78,muslim muin anggota tgupp bentuk wan zigzag betul singkat tangkap air rumah sy banjir tampung sementara a,-1.0,-1.0
79,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0,-1.0
80,neh kronologis nya,1.0,-1.0
81,kabupaten bogor tetap status tanggap darurat bencana banjir dan tanah longsor 2 16 januari 2020,-1.0,-1.0
82,banjir jakarta bakar hutan di australia mungkin ww iii masalah pulau natuna dan laut cina selatan ria ir,1.0,-1.0
83,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0,-1.0
84,saya datang untuk pasti butuh warga dampak bencana penuh sebab bencana banjir bandang di lebak seperti pe,1.0,1.0
85,diet suku suku paruh susah eh nak jaga makan benar tak susah kalau praktik dari sekarangkita pun tengah be,-1.0,-1.0
86,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0,-1.0
87,banjir longsor di lebak presiden jokowi minta 30 jembatan dan 19 sekolah rusak segeradiperbaiki,-1.0,-1.0
88,banjir yang landa bekas beberapa hari lalu tidak hanya sisa lumpur tetapi juga sampah seperti salah satu sampah,-1.0,-1.0
89,jrkw19 wah nyata usaha anis utk atas banjir di dki dg cara berselfy ria di pinggir sungai tsb ini baru s,1.0,-1.0
90,restichayah vivacoid jokowi kodok bahagia krn bisa terus selfi amp ngevlog tengah musibah banjir,-1.0,-1.0
91,surprise gubernur aniesbaswedan datang resepsi nikah di rumah yg sempat dampak banjir di rt 0307 lurah,1.0,-1.0
92,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0,-1.0
93,ciluukkbaa apresiasi bijak aniesbaswedan tangan banjir pakar hidrodinamika gubernur luar biasa please jangan,-1.0,-1.0
94,biaibiai131 halo saya bencana bot untuk lapor banjir di sekitar sila balas dengan,-1.0,-1.0
95,beneran kayak parasite kalau dipikirpikir jakarta banjir dan timpang yang nyata,-1.0,-1.0
96,banjir tol japek basuki aku drainase tutup proyek kereta cepat salah bang aniesbaswedan l,-1.0,-1.0
97,tentang banjir jkt dan kesalahpahamannya,-1.0,-1.0
98,banjir bandang landa jumlah desa di lebak banten di awal tahun 19 sekolah dan 1410 rumah rusak ribu warga ungsi,-1.0,-1.0
99,nenek 71 th tinggal dlm rumah sendiri di green ville blok bn pas banjir kemaren viralkan biar sampai ke mendagri pak,-1.0,-1.0
